Officer-defined ethnicity,Date,Object of search,Outcome,Type,Gender,Age range,count
Asian,2020-01-01,Anything to threaten or harm anyone,A no further action disposal,Person and Vehicle search,Female,18-24,1
Asian,2020-01-01,Anything to threaten or harm anyone,A no further action disposal,Person and Vehicle search,Male,10-17,1
Asian,2020-01-01,Anything to threaten or harm anyone,A no further action disposal,Person and Vehicle search,Male,18-24,8
Asian,2020-01-01,Anything to threaten or harm anyone,A no further action disposal,Person and Vehicle search,Male,25-34,8
Asian,2020-01-01,Anything to threaten or harm anyone,A no further action disposal,Person and Vehicle search,Male,over 34,4
Asian,2020-01-01,Anything to threaten or harm anyone,A no further action disposal,Person search,Female,10-17,1
Asian,2020-01-01,Anything to threaten or harm anyone,A no further action disposal,Person search,Female,18-24,1
Asian,2020-01-01,Anything to threaten or harm anyone,A no further action disposal,Person search,Female,25-34,4
Asian,2020-01-01,Anything to threaten or harm anyone,A no further action disposal,Person search,Female,over 34,1
Asian,2020-01-01,Anything to threaten or harm anyone,A no further action disposal,Person search,Male,10-17,30
Asian,2020-01-01,Anything to threaten or harm anyone,A no further action disposal,Person search,Male,18-24,35
Asian,2020-01-01,Anything to threaten or harm anyone,A no further action disposal,Person search,Male,25-34,14
Asian,2020-01-01,Anything to threaten or harm anyone,A no further action disposal,Person search,Male,over 34,7
Asian,2020-01-01,Anything to threaten or harm anyone,Arrest,Person and Vehicle search,Male,18-24,2
Asian,2020-01-01,Anything to threaten or harm anyone,Arrest,Person search,Male,18-24,1
Asian,2020-01-01,Anything to threaten or harm anyone,Arrest,Person search,Male,25-34,1
Asian,2020-01-01,Anything to threaten or harm anyone,Community resolution,Person and Vehicle search,Male,18-24,1
Asian,2020-01-01,Anything to threaten or harm anyone,Community resolution,Person and Vehicle search,Male,25-34,1
Asian,2020-01-01,Anything to threaten or harm anyone,Community resolution,Person search,Male,18-24,2
Asian,2020-01-01,Anything to threaten or harm anyone,Penalty Notice for Disorder,Person and Vehicle search,Male,over 34,1
Asian,2020-01-01,Anything to threaten or harm anyone,Penalty Notice for Disorder,Person search,Male,over 34,1
Asian,2020-01-01,Articles for use in criminal damage,A no further action disposal,Person search,Male,10-17,5
Asian,2020-01-01,Articles for use in criminal damage,A no further action disposal,Person search,Male,18-24,6
Asian,2020-01-01,Articles for use in criminal damage,A no further action disposal,Person search,Male,over 34,1
Asian,2020-01-01,Articles for use in criminal damage,Arrest,Person search,Male,25-34,1
Asian,2020-01-01,Articles for use in criminal damage,Arrest,Person search,Male,over 34,1
Asian,2020-01-01,Articles for use in criminal damage,Community resolution,Person search,Male,10-17,1
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person and Vehicle search,Female,10-17,1
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person and Vehicle search,Female,18-24,8
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person and Vehicle search,Female,25-34,6
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person and Vehicle search,Male,10-17,17
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person and Vehicle search,Male,18-24,394
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person and Vehicle search,Male,25-34,212
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person and Vehicle search,Male,over 34,40
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person search,Female,10-17,5
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person search,Female,18-24,27
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person search,Female,25-34,11
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person search,Female,over 34,1
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person search,Male,10-17,235
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person search,Male,18-24,594
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person search,Male,25-34,278
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person search,Male,over 34,151
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person search,Other,18-24,1
Asian,2020-01-01,Controlled drugs,A no further action disposal,Vehicle search,Female,10-17,1
Asian,2020-01-01,Controlled drugs,A no further action disposal,Vehicle search,Male,18-24,5
Asian,2020-01-01,Controlled drugs,A no further action disposal,Vehicle search,Male,25-34,3
Asian,2020-01-01,Controlled drugs,Arrest,Person and Vehicle search,Female,18-24,4
Asian,2020-01-01,Controlled drugs,Arrest,Person and Vehicle search,Female,25-34,1
Asian,2020-01-01,Controlled drugs,Arrest,Person and Vehicle search,Male,10-17,5
Asian,2020-01-01,Controlled drugs,Arrest,Person and Vehicle search,Male,18-24,58
Asian,2020-01-01,Controlled drugs,Arrest,Person and Vehicle search,Male,25-34,40
Asian,2020-01-01,Controlled drugs,Arrest,Person and Vehicle search,Male,over 34,11
Asian,2020-01-01,Controlled drugs,Arrest,Person search,Female,10-17,2
Asian,2020-01-01,Controlled drugs,Arrest,Person search,Female,18-24,3
Asian,2020-01-01,Controlled drugs,Arrest,Person search,Female,25-34,1
Asian,2020-01-01,Controlled drugs,Arrest,Person search,Male,10-17,23
Asian,2020-01-01,Controlled drugs,Arrest,Person search,Male,18-24,51
Asian,2020-01-01,Controlled drugs,Arrest,Person search,Male,25-34,24
Asian,2020-01-01,Controlled drugs,Arrest,Person search,Male,over 34,34
Asian,2020-01-01,Controlled drugs,Arrest,Vehicle search,Male,18-24,2
Asian,2020-01-01,Controlled drugs,Caution (simple or conditional),Person and Vehicle search,Female,over 34,2
Asian,2020-01-01,Controlled drugs,Caution (simple or conditional),Person and Vehicle search,Male,25-34,1
Asian,2020-01-01,Controlled drugs,Caution (simple or conditional),Person search,Male,10-17,1
Asian,2020-01-01,Controlled drugs,Community resolution,Person and Vehicle search,Female,18-24,2
Asian,2020-01-01,Controlled drugs,Community resolution,Person and Vehicle search,Female,25-34,3
Asian,2020-01-01,Controlled drugs,Community resolution,Person and Vehicle search,Male,10-17,4
Asian,2020-01-01,Controlled drugs,Community resolution,Person and Vehicle search,Male,18-24,72
Asian,2020-01-01,Controlled drugs,Community resolution,Person and Vehicle search,Male,25-34,65
Asian,2020-01-01,Controlled drugs,Community resolution,Person and Vehicle search,Male,over 34,9
Asian,2020-01-01,Controlled drugs,Community resolution,Person search,Female,18-24,8
Asian,2020-01-01,Controlled drugs,Community resolution,Person search,Female,25-34,3
Asian,2020-01-01,Controlled drugs,Community resolution,Person search,Male,10-17,6
Asian,2020-01-01,Controlled drugs,Community resolution,Person search,Male,18-24,111
Asian,2020-01-01,Controlled drugs,Community resolution,Person search,Male,25-34,58
Asian,2020-01-01,Controlled drugs,Community resolution,Person search,Male,over 34,16
Asian,2020-01-01,Controlled drugs,Community resolution,Vehicle search,Male,18-24,1
Asian,2020-01-01,Controlled drugs,Community resolution,Vehicle search,Male,over 34,2
Asian,2020-01-01,Controlled drugs,Penalty Notice for Disorder,Person and Vehicle search,Male,10-17,1
Asian,2020-01-01,Controlled drugs,Penalty Notice for Disorder,Person and Vehicle search,Male,18-24,41
Asian,2020-01-01,Controlled drugs,Penalty Notice for Disorder,Person and Vehicle search,Male,25-34,24
Asian,2020-01-01,Controlled drugs,Penalty Notice for Disorder,Person and Vehicle search,Male,over 34,4
Asian,2020-01-01,Controlled drugs,Penalty Notice for Disorder,Person search,Female,18-24,1
Asian,2020-01-01,Controlled drugs,Penalty Notice for Disorder,Person search,Male,18-24,37
Asian,2020-01-01,Controlled drugs,Penalty Notice for Disorder,Person search,Male,25-34,17
Asian,2020-01-01,Controlled drugs,Penalty Notice for Disorder,Person search,Male,over 34,9
Asian,2020-01-01,Controlled drugs,Penalty Notice for Disorder,Vehicle search,Male,18-24,2
Asian,2020-01-01,Controlled drugs,Summons / charged by post,Person and Vehicle search,Male,18-24,14
Asian,2020-01-01,Controlled drugs,Summons / charged by post,Person and Vehicle search,Male,25-34,4
Asian,2020-01-01,Controlled drugs,Summons / charged by post,Person and Vehicle search,Male,over 34,1
Asian,2020-01-01,Controlled drugs,Summons / charged by post,Person search,Male,10-17,3
Asian,2020-01-01,Controlled drugs,Summons / charged by post,Person search,Male,18-24,19
Asian,2020-01-01,Controlled drugs,Summons / charged by post,Person search,Male,25-34,4
Asian,2020-01-01,Controlled drugs,Summons / charged by post,Person search,Male,over 34,8
Asian,2020-01-01,Evidence of offences under the Act,A no further action disposal,Person and Vehicle search,Male,10-17,2
Asian,2020-01-01,Evidence of offences under the Act,A no further action disposal,Person and Vehicle search,Male,18-24,6
Asian,2020-01-01,Evidence of offences under the Act,A no further action disposal,Person and Vehicle search,Male,25-34,3
Asian,2020-01-01,Evidence of offences under the Act,A no further action disposal,Person and Vehicle search,Male,over 34,5
Asian,2020-01-01,Evidence of offences under the Act,A no further action disposal,Person search,Male,10-17,22
Asian,2020-01-01,Evidence of offences under the Act,A no further action disposal,Person search,Male,18-24,16
Asian,2020-01-01,Evidence of offences under the Act,A no further action disposal,Person search,Male,25-34,12
Asian,2020-01-01,Evidence of offences under the Act,A no further action disposal,Person search,Male,over 34,30
Asian,2020-01-01,Evidence of offences under the Act,Arrest,Person and Vehicle search,Male,18-24,1
Asian,2020-01-01,Evidence of offences under the Act,Arrest,Person search,Male,10-17,3
Asian,2020-01-01,Evidence of offences under the Act,Arrest,Person search,Male,18-24,4
Asian,2020-01-01,Evidence of offences under the Act,Arrest,Person search,Male,25-34,2
Asian,2020-01-01,Evidence of offences under the Act,Arrest,Person search,Male,over 34,2
Asian,2020-01-01,Evidence of offences under the Act,Community resolution,Person search,Male,18-24,1
Asian,2020-01-01,Evidence of offences under the Act,Community resolution,Person search,Male,25-34,1
Asian,2020-01-01,Evidence of offences under the Act,Community resolution,Person search,Male,over 34,1
Asian,2020-01-01,Evidence of offences under the Act,Penalty Notice for Disorder,Person and Vehicle search,Male,18-24,1
Asian,2020-01-01,Firearms,A no further action disposal,Person and Vehicle search,Male,18-24,4
Asian,2020-01-01,Firearms,A no further action disposal,Person and Vehicle search,Male,25-34,2
Asian,2020-01-01,Firearms,A no further action disposal,Person search,Female,over 34,1
Asian,2020-01-01,Firearms,A no further action disposal,Person search,Male,10-17,2
Asian,2020-01-01,Firearms,A no further action disposal,Person search,Male,18-24,4
Asian,2020-01-01,Firearms,A no further action disposal,Person search,Male,25-34,1
Asian,2020-01-01,Firearms,A no further action disposal,Person search,Male,over 34,1
Asian,2020-01-01,Firearms,Arrest,Person and Vehicle search,Male,18-24,1
Asian,2020-01-01,Firearms,Arrest,Person and Vehicle search,Male,25-34,2
Asian,2020-01-01,Firearms,Arrest,Person search,Male,25-34,1
Asian,2020-01-01,Fireworks,A no further action disposal,Person search,Male,10-17,1
Asian,2020-01-01,Fireworks,A no further action disposal,Person search,Male,25-34,1
Asian,2020-01-01,Fireworks,Community resolution,Person search,Male,10-17,1
Asian,2020-01-01,Offensive weapons,A no further action disposal,Person and Vehicle search,Female,18-24,1
Asian,2020-01-01,Offensive weapons,A no further action disposal,Person and Vehicle search,Male,10-17,7
Asian,2020-01-01,Offensive weapons,A no further action disposal,Person and Vehicle search,Male,18-24,75
Asian,2020-01-01,Offensive weapons,A no further action disposal,Person and Vehicle search,Male,25-34,30
Asian,2020-01-01,Offensive weapons,A no further action disposal,Person and Vehicle search,Male,over 34,8
Asian,2020-01-01,Offensive weapons,A no further action disposal,Person search,Female,10-17,15
Asian,2020-01-01,Offensive weapons,A no further action disposal,Person search,Female,18-24,6
Asian,2020-01-01,Offensive weapons,A no further action disposal,Person search,Male,10-17,137
Asian,2020-01-01,Offensive weapons,A no further action disposal,Person search,Male,18-24,129
Asian,2020-01-01,Offensive weapons,A no further action disposal,Person search,Male,25-34,47
Asian,2020-01-01,Offensive weapons,A no further action disposal,Person search,Male,over 34,26
Asian,2020-01-01,Offensive weapons,Arrest,Person and Vehicle search,Male,18-24,9
Asian,2020-01-01,Offensive weapons,Arrest,Person and Vehicle search,Male,25-34,2
Asian,2020-01-01,Offensive weapons,Arrest,Person and Vehicle search,Male,over 34,1
Asian,2020-01-01,Offensive weapons,Arrest,Person search,Male,10-17,15
Asian,2020-01-01,Offensive weapons,Arrest,Person search,Male,18-24,12
Asian,2020-01-01,Offensive weapons,Arrest,Person search,Male,25-34,11
Asian,2020-01-01,Offensive weapons,Arrest,Person search,Male,over 34,6
Asian,2020-01-01,Offensive weapons,Arrest,Vehicle search,Male,25-34,1
Asian,2020-01-01,Offensive weapons,Community resolution,Person and Vehicle search,Male,18-24,2
Asian,2020-01-01,Offensive weapons,Community resolution,Person search,Male,10-17,2
Asian,2020-01-01,Offensive weapons,Community resolution,Person search,Male,18-24,5
Asian,2020-01-01,Offensive weapons,Community resolution,Person search,Male,25-34,3
Asian,2020-01-01,Offensive weapons,Community resolution,Person search,Male,over 34,1
Asian,2020-01-01,Offensive weapons,Penalty Notice for Disorder,Person and Vehicle search,Male,18-24,4
Asian,2020-01-01,Offensive weapons,Penalty Notice for Disorder,Person search,Male,18-24,4
Asian,2020-01-01,Offensive weapons,Summons / charged by post,Person search,Male,10-17,1
Asian,2020-01-01,Stolen goods,A no further action disposal,Person and Vehicle search,Male,10-17,1
Asian,2020-01-01,Stolen goods,A no further action disposal,Person and Vehicle search,Male,18-24,17
Asian,2020-01-01,Stolen goods,A no further action disposal,Person and Vehicle search,Male,25-34,11
Asian,2020-01-01,Stolen goods,A no further action disposal,Person and Vehicle search,Male,over 34,3
Asian,2020-01-01,Stolen goods,A no further action disposal,Person search,Female,10-17,3
Asian,2020-01-01,Stolen goods,A no further action disposal,Person search,Female,25-34,3
Asian,2020-01-01,Stolen goods,A no further action disposal,Person search,Female,over 34,5
Asian,2020-01-01,Stolen goods,A no further action disposal,Person search,Male,10-17,43
Asian,2020-01-01,Stolen goods,A no further action disposal,Person search,Male,18-24,52
Asian,2020-01-01,Stolen goods,A no further action disposal,Person search,Male,25-34,17
Asian,2020-01-01,Stolen goods,A no further action disposal,Person search,Male,over 34,27
Asian,2020-01-01,Stolen goods,Arrest,Person and Vehicle search,Male,18-24,5
Asian,2020-01-01,Stolen goods,Arrest,Person and Vehicle search,Male,25-34,3
Asian,2020-01-01,Stolen goods,Arrest,Person and Vehicle search,Male,over 34,2
Asian,2020-01-01,Stolen goods,Arrest,Person search,Male,10-17,13
Asian,2020-01-01,Stolen goods,Arrest,Person search,Male,18-24,9
Asian,2020-01-01,Stolen goods,Arrest,Person search,Male,25-34,6
Asian,2020-01-01,Stolen goods,Arrest,Person search,Male,over 34,11
Asian,2020-01-01,Stolen goods,Community resolution,Person and Vehicle search,Male,over 34,1
Asian,2020-01-01,Stolen goods,Community resolution,Person search,Female,over 34,1
Asian,2020-01-01,Stolen goods,Community resolution,Person search,Male,25-34,1
Asian,2020-01-01,Stolen goods,Community resolution,Person search,Male,over 34,9
Asian,2020-01-01,Stolen goods,Penalty Notice for Disorder,Person and Vehicle search,Male,25-34,1
Asian,2020-01-01,Stolen goods,Penalty Notice for Disorder,Person and Vehicle search,Male,over 34,1
Asian,2020-01-01,Stolen goods,Penalty Notice for Disorder,Person search,Male,over 34,1
Asian,2020-01-01,Stolen goods,Summons / charged by post,Person search,Male,10-17,2
Asian,2020-01-01,Stolen goods,Summons / charged by post,Person search,Male,over 34,1
Asian,2020-02-01,Anything to threaten or harm anyone,A no further action disposal,Person and Vehicle search,Male,10-17,2
Asian,2020-02-01,Anything to threaten or harm anyone,A no further action disposal,Person and Vehicle search,Male,18-24,4
Asian,2020-02-01,Anything to threaten or harm anyone,A no further action disposal,Person and Vehicle search,Male,25-34,3
Asian,2020-02-01,Anything to threaten or harm anyone,A no further action disposal,Person and Vehicle search,Male,over 34,2
Asian,2020-02-01,Anything to threaten or harm anyone,A no further action disposal,Person search,Male,10-17,15
Asian,2020-02-01,Anything to threaten or harm anyone,A no further action disposal,Person search,Male,18-24,19
Asian,2020-02-01,Anything to threaten or harm anyone,A no further action disposal,Person search,Male,25-34,9
Asian,2020-02-01,Anything to threaten or harm anyone,A no further action disposal,Person search,Male,over 34,4
Asian,2020-02-01,Anything to threaten or harm anyone,A no further action disposal,Person search,Other,10-17,1
Asian,2020-02-01,Anything to threaten or harm anyone,Arrest,Person and Vehicle search,Male,18-24,1
Asian,2020-02-01,Anything to threaten or harm anyone,Arrest,Person and Vehicle search,Male,over 34,1
Asian,2020-02-01,Anything to threaten or harm anyone,Arrest,Person search,Male,10-17,1
Asian,2020-02-01,Anything to threaten or harm anyone,Community resolution,Person search,Male,18-24,2
Asian,2020-02-01,Anything to threaten or harm anyone,Community resolution,Person search,Male,25-34,1
Asian,2020-02-01,Anything to threaten or harm anyone,Penalty Notice for Disorder,Person and Vehicle search,Male,18-24,1
Asian,2020-02-01,Anything to threaten or harm anyone,Summons / charged by post,Person and Vehicle search,Male,25-34,1
Asian,2020-02-01,Articles for use in criminal damage,A no further action disposal,Person and Vehicle search,Male,18-24,1
Asian,2020-02-01,Articles for use in criminal damage,A no further action disposal,Person search,Male,10-17,4
Asian,2020-02-01,Articles for use in criminal damage,Arrest,Person search,Male,over 34,1
Asian,2020-02-01,Articles for use in criminal damage,Penalty Notice for Disorder,Person search,Male,18-24,1
Asian,2020-02-01,Controlled drugs,A no further action disposal,Person and Vehicle search,Female,10-17,1
Asian,2020-02-01,Controlled drugs,A no further action disposal,Person and Vehicle search,Female,18-24,14
Asian,2020-02-01,Controlled drugs,A no further action disposal,Person and Vehicle search,Female,25-34,2
Asian,2020-02-01,Controlled drugs,A no further action disposal,Person and Vehicle search,Female,over 34,3
Asian,2020-02-01,Controlled drugs,A no further action disposal,Person and Vehicle search,Male,10-17,19
Asian,2020-02-01,Controlled drugs,A no further action disposal,Person and Vehicle search,Male,18-24,351
Asian,2020-02-01,Controlled drugs,A no further action disposal,Person and Vehicle search,Male,25-34,179
Asian,2020-02-01,Controlled drugs,A no further action disposal,Person and Vehicle search,Male,over 34,34
Asian,2020-02-01,Controlled drugs,A no further action disposal,Person search,Female,10-17,9
Asian,2020-02-01,Controlled drugs,A no further action disposal,Person search,Female,18-24,22
Asian,2020-02-01,Controlled drugs,A no further action disposal,Person search,Female,25-34,16
Asian,2020-02-01,Controlled drugs,A no further action disposal,Person search,Female,over 34,4
Asian,2020-02-01,Controlled drugs,A no further action disposal,Person search,Male,10-17,219
Asian,2020-02-01,Controlled drugs,A no further action disposal,Person search,Male,18-24,491
Asian,2020-02-01,Controlled drugs,A no further action disposal,Person search,Male,25-34,221
Asian,2020-02-01,Controlled drugs,A no further action disposal,Person search,Male,over 34,122
Asian,2020-02-01,Controlled drugs,A no further action disposal,Vehicle search,Male,18-24,2
Asian,2020-02-01,Controlled drugs,Arrest,Person and Vehicle search,Female,over 34,2
Asian,2020-02-01,Controlled drugs,Arrest,Person and Vehicle search,Male,10-17,4
Asian,2020-02-01,Controlled drugs,Arrest,Person and Vehicle search,Male,18-24,56
Asian,2020-02-01,Controlled drugs,Arrest,Person and Vehicle search,Male,25-34,37
Asian,2020-02-01,Controlled drugs,Arrest,Person and Vehicle search,Male,over 34,13
Asian,2020-02-01,Controlled drugs,Arrest,Person search,Female,25-34,1
Asian,2020-02-01,Controlled drugs,Arrest,Person search,Male,10-17,15
Asian,2020-02-01,Controlled drugs,Arrest,Person search,Male,18-24,34
Asian,2020-02-01,Controlled drugs,Arrest,Person search,Male,25-34,21
Asian,2020-02-01,Controlled drugs,Arrest,Person search,Male,over 34,17
Asian,2020-02-01,Controlled drugs,Arrest,Person search,Other,18-24,1
Asian,2020-02-01,Controlled drugs,Arrest,Vehicle search,Male,25-34,1
Asian,2020-02-01,Controlled drugs,Caution (simple or conditional),Person and Vehicle search,Male,18-24,2
Asian,2020-02-01,Controlled drugs,Caution (simple or conditional),Person search,Male,10-17,1
Asian,2020-02-01,Controlled drugs,Community resolution,Person and Vehicle search,Female,18-24,2
Asian,2020-02-01,Controlled drugs,Community resolution,Person and Vehicle search,Female,25-34,4
Asian,2020-02-01,Controlled drugs,Community resolution,Person and Vehicle search,Male,18-24,69
Asian,2020-02-01,Controlled drugs,Community resolution,Person and Vehicle search,Male,25-34,48
Asian,2020-02-01,Controlled drugs,Community resolution,Person and Vehicle search,Male,over 34,10
Asian,2020-02-01,Controlled drugs,Community resolution,Person search,Female,18-24,5
Asian,2020-02-01,Controlled drugs,Community resolution,Person search,Female,25-34,1
Asian,2020-02-01,Controlled drugs,Community resolution,Person search,Male,10-17,9
Asian,2020-02-01,Controlled drugs,Community resolution,Person search,Male,18-24,87
Asian,2020-02-01,Controlled drugs,Community resolution,Person search,Male,25-34,40
Asian,2020-02-01,Controlled drugs,Community resolution,Person search,Male,over 34,9
Asian,2020-02-01,Controlled drugs,Community resolution,Vehicle search,Male,18-24,2
Asian,2020-02-01,Controlled drugs,Community resolution,Vehicle search,Male,25-34,1
Asian,2020-02-01,Controlled drugs,Penalty Notice for Disorder,Person and Vehicle search,Male,18-24,28
Asian,2020-02-01,Controlled drugs,Penalty Notice for Disorder,Person and Vehicle search,Male,25-34,21
Asian,2020-02-01,Controlled drugs,Penalty Notice for Disorder,Person search,Female,18-24,1
Asian,2020-02-01,Controlled drugs,Penalty Notice for Disorder,Person search,Male,10-17,1
Asian,2020-02-01,Controlled drugs,Penalty Notice for Disorder,Person search,Male,18-24,18
Asian,2020-02-01,Controlled drugs,Penalty Notice for Disorder,Person search,Male,25-34,18
Asian,2020-02-01,Controlled drugs,Penalty Notice for Disorder,Person search,Male,over 34,4
Asian,2020-02-01,Controlled drugs,Summons / charged by post,Person and Vehicle search,Male,10-17,1
Asian,2020-02-01,Controlled drugs,Summons / charged by post,Person and Vehicle search,Male,18-24,8
Asian,2020-02-01,Controlled drugs,Summons / charged by post,Person and Vehicle search,Male,25-34,4
Asian,2020-02-01,Controlled drugs,Summons / charged by post,Person and Vehicle search,Male,over 34,3
Asian,2020-02-01,Controlled drugs,Summons / charged by post,Person search,Female,10-17,1
Asian,2020-02-01,Controlled drugs,Summons / charged by post,Person search,Male,10-17,2
Asian,2020-02-01,Controlled drugs,Summons / charged by post,Person search,Male,18-24,11
Asian,2020-02-01,Controlled drugs,Summons / charged by post,Person search,Male,25-34,5
Asian,2020-02-01,Controlled drugs,Summons / charged by post,Person search,Male,over 34,1
Asian,2020-02-01,Evidence of offences under the Act,A no further action disposal,Person and Vehicle search,Male,10-17,1
Asian,2020-02-01,Evidence of offences under the Act,A no further action disposal,Person and Vehicle search,Male,18-24,6
Asian,2020-02-01,Evidence of offences under the Act,A no further action disposal,Person and Vehicle search,Male,25-34,4
Asian,2020-02-01,Evidence of offences under the Act,A no further action disposal,Person search,Male,10-17,24
Asian,2020-02-01,Evidence of offences under the Act,A no further action disposal,Person search,Male,18-24,10
Asian,2020-02-01,Evidence of offences under the Act,A no further action disposal,Person search,Male,25-34,11
Asian,2020-02-01,Evidence of offences under the Act,A no further action disposal,Person search,Male,over 34,14
Asian,2020-02-01,Evidence of offences under the Act,Arrest,Person and Vehicle search,Female,10-17,1
Asian,2020-02-01,Evidence of offences under the Act,Arrest,Person and Vehicle search,Male,10-17,1
Asian,2020-02-01,Evidence of offences under the Act,Arrest,Person and Vehicle search,Male,18-24,1
Asian,2020-02-01,Evidence of offences under the Act,Arrest,Person and Vehicle search,Male,25-34,2
Asian,2020-02-01,Evidence of offences under the Act,Arrest,Person and Vehicle search,Male,over 34,2
Asian,2020-02-01,Evidence of offences under the Act,Arrest,Person search,Male,10-17,4
Asian,2020-02-01,Evidence of offences under the Act,Arrest,Person search,Male,18-24,3
Asian,2020-02-01,Evidence of offences under the Act,Arrest,Person search,Male,over 34,3
Asian,2020-02-01,Evidence of offences under the Act,Community resolution,Person search,Male,10-17,1
Asian,2020-02-01,Evidence of offences under the Act,Community resolution,Person search,Male,18-24,3
Asian,2020-02-01,Evidence of offences under the Act,Community resolution,Person search,Male,25-34,2
Asian,2020-02-01,Evidence of offences under the Act,Community resolution,Person search,Male,over 34,1
Asian,2020-02-01,Evidence of offences under the Act,Penalty Notice for Disorder,Person search,Male,over 34,1
Asian,2020-02-01,Firearms,A no further action disposal,Person and Vehicle search,Female,25-34,1
Asian,2020-02-01,Firearms,A no further action disposal,Person and Vehicle search,Male,18-24,4
Asian,2020-02-01,Firearms,A no further action disposal,Person and Vehicle search,Male,25-34,4
Asian,2020-02-01,Firearms,A no further action disposal,Person search,Male,10-17,1
Asian,2020-02-01,Firearms,A no further action disposal,Person search,Male,18-24,3
Asian,2020-02-01,Firearms,Arrest,Person and Vehicle search,Male,25-34,1
Asian,2020-02-01,Firearms,Arrest,Person search,Female,over 34,1
Asian,2020-02-01,Firearms,Arrest,Person search,Male,10-17,1
Asian,2020-02-01,Fireworks,A no further action disposal,Person search,Male,10-17,2
Asian,2020-02-01,Offensive weapons,A no further action disposal,Person and Vehicle search,Male,10-17,3
Asian,2020-02-01,Offensive weapons,A no further action disposal,Person and Vehicle search,Male,18-24,49
Asian,2020-02-01,Offensive weapons,A no further action disposal,Person and Vehicle search,Male,25-34,20
Asian,2020-02-01,Offensive weapons,A no further action disposal,Person and Vehicle search,Male,over 34,4
Asian,2020-02-01,Offensive weapons,A no further action disposal,Person search,Female,10-17,4
Asian,2020-02-01,Offensive weapons,A no further action disposal,Person search,Female,18-24,4
Asian,2020-02-01,Offensive weapons,A no further action disposal,Person search,Female,25-34,1
Asian,2020-02-01,Offensive weapons,A no further action disposal,Person search,Male,10-17,116
Asian,2020-02-01,Offensive weapons,A no further action disposal,Person search,Male,18-24,95
Asian,2020-02-01,Offensive weapons,A no further action disposal,Person search,Male,25-34,31
Asian,2020-02-01,Offensive weapons,A no further action disposal,Person search,Male,over 34,17
Asian,2020-02-01,Offensive weapons,A no further action disposal,Person search,Male,under 10,1
Asian,2020-02-01,Offensive weapons,A no further action disposal,Vehicle search,Male,18-24,1
Asian,2020-02-01,Offensive weapons,Arrest,Person and Vehicle search,Male,10-17,1
Asian,2020-02-01,Offensive weapons,Arrest,Person and Vehicle search,Male,18-24,8
Asian,2020-02-01,Offensive weapons,Arrest,Person and Vehicle search,Male,25-34,2
Asian,2020-02-01,Offensive weapons,Arrest,Person and Vehicle search,Male,over 34,3
Asian,2020-02-01,Offensive weapons,Arrest,Person search,Male,10-17,16
Asian,2020-02-01,Offensive weapons,Arrest,Person search,Male,18-24,7
Asian,2020-02-01,Offensive weapons,Arrest,Person search,Male,25-34,10
Asian,2020-02-01,Offensive weapons,Arrest,Person search,Male,over 34,2
Asian,2020-02-01,Offensive weapons,Community resolution,Person and Vehicle search,Female,over 34,1
Asian,2020-02-01,Offensive weapons,Community resolution,Person and Vehicle search,Male,18-24,2
Asian,2020-02-01,Offensive weapons,Community resolution,Person and Vehicle search,Male,25-34,1
Asian,2020-02-01,Offensive weapons,Community resolution,Person search,Male,18-24,3
Asian,2020-02-01,Offensive weapons,Penalty Notice for Disorder,Person and Vehicle search,Female,18-24,1
Asian,2020-02-01,Offensive weapons,Penalty Notice for Disorder,Person and Vehicle search,Male,18-24,1
Asian,2020-02-01,Offensive weapons,Penalty Notice for Disorder,Person and Vehicle search,Male,25-34,1
Asian,2020-02-01,Offensive weapons,Penalty Notice for Disorder,Person search,Male,18-24,1
Asian,2020-02-01,Offensive weapons,Summons / charged by post,Person and Vehicle search,Male,18-24,2
Asian,2020-02-01,Offensive weapons,Summons / charged by post,Person search,Male,18-24,1
Asian,2020-02-01,Stolen goods,A no further action disposal,Person and Vehicle search,Female,10-17,1
Asian,2020-02-01,Stolen goods,A no further action disposal,Person and Vehicle search,Female,25-34,1
Asian,2020-02-01,Stolen goods,A no further action disposal,Person and Vehicle search,Male,10-17,3
Asian,2020-02-01,Stolen goods,A no further action disposal,Person and Vehicle search,Male,18-24,14
Asian,2020-02-01,Stolen goods,A no further action disposal,Person and Vehicle search,Male,25-34,16
Asian,2020-02-01,Stolen goods,A no further action disposal,Person and Vehicle search,Male,over 34,3
