Officer-defined ethnicity,Date,Object of search,Gender,Age range,count
Black,2020-09-01,Evidence of offences under the Act,Male,over 34,46
Black,2020-09-01,Evidence of offences under the Act,Male,under 10,1
Black,2020-09-01,Evidence of offences under the Act,Other,25-34,1
Black,2020-09-01,Firearms,Male,10-17,2
Black,2020-09-01,Firearms,Male,18-24,12
Black,2020-09-01,Firearms,Male,25-34,5
Black,2020-09-01,Firearms,Male,over 34,4
Black,2020-09-01,Fireworks,Male,18-24,1
Black,2020-09-01,Offensive weapons,Female,10-17,8
Black,2020-09-01,Offensive weapons,Female,18-24,9
Black,2020-09-01,Offensive weapons,Female,25-34,7
Black,2020-09-01,Offensive weapons,Female,over 34,7
Black,2020-09-01,Offensive weapons,Male,10-17,442
Black,2020-09-01,Offensive weapons,Male,18-24,511
Black,2020-09-01,Offensive weapons,Male,25-34,202
Black,2020-09-01,Offensive weapons,Male,over 34,106
Black,2020-09-01,Offensive weapons,Other,10-17,1
Black,2020-09-01,Stolen goods,Female,10-17,3
Black,2020-09-01,Stolen goods,Female,18-24,10
Black,2020-09-01,Stolen goods,Female,25-34,11
Black,2020-09-01,Stolen goods,Female,over 34,11
Black,2020-09-01,Stolen goods,Male,10-17,197
Black,2020-09-01,Stolen goods,Male,18-24,144
Black,2020-09-01,Stolen goods,Male,25-34,82
Black,2020-09-01,Stolen goods,Male,over 34,108
Black,2020-10-01,Anything to threaten or harm anyone,Female,25-34,1
Black,2020-10-01,Anything to threaten or harm anyone,Male,10-17,13
Black,2020-10-01,Anything to threaten or harm anyone,Male,18-24,23
Black,2020-10-01,Anything to threaten or harm anyone,Male,25-34,11
Black,2020-10-01,Anything to threaten or harm anyone,Male,over 34,8
Black,2020-10-01,Articles for use in criminal damage,Female,10-17,2
Black,2020-10-01,Articles for use in criminal damage,Male,10-17,8
Black,2020-10-01,Articles for use in criminal damage,Male,18-24,4
Black,2020-10-01,Articles for use in criminal damage,Male,25-34,4
Black,2020-10-01,Articles for use in criminal damage,Male,over 34,4
Black,2020-10-01,Controlled drugs,Female,10-17,42
Black,2020-10-01,Controlled drugs,Female,18-24,105
Black,2020-10-01,Controlled drugs,Female,25-34,53
Black,2020-10-01,Controlled drugs,Female,over 34,58
Black,2020-10-01,Controlled drugs,Male,10-17,509
Black,2020-10-01,Controlled drugs,Male,18-24,1568
Black,2020-10-01,Controlled drugs,Male,25-34,960
Black,2020-10-01,Controlled drugs,Male,over 34,629
Black,2020-10-01,Controlled drugs,Male,under 10,1
Black,2020-10-01,Evidence of offences under the Act,Female,18-24,3
Black,2020-10-01,Evidence of offences under the Act,Female,25-34,1
Black,2020-10-01,Evidence of offences under the Act,Female,over 34,3
Black,2020-10-01,Evidence of offences under the Act,Male,10-17,67
Black,2020-10-01,Evidence of offences under the Act,Male,18-24,52
Black,2020-10-01,Evidence of offences under the Act,Male,25-34,37
Black,2020-10-01,Evidence of offences under the Act,Male,over 34,46
Black,2020-10-01,Firearms,Female,18-24,1
Black,2020-10-01,Firearms,Male,10-17,14
Black,2020-10-01,Firearms,Male,18-24,17
Black,2020-10-01,Firearms,Male,25-34,8
Black,2020-10-01,Firearms,Male,over 34,7
Black,2020-10-01,Fireworks,Female,10-17,16
Black,2020-10-01,Fireworks,Female,18-24,1
Black,2020-10-01,Fireworks,Male,10-17,238
Black,2020-10-01,Fireworks,Male,18-24,25
Black,2020-10-01,Fireworks,Male,25-34,1
Black,2020-10-01,Fireworks,Male,over 34,2
Black,2020-10-01,Fireworks,Other,18-24,1
Black,2020-10-01,Offensive weapons,Female,10-17,7
Black,2020-10-01,Offensive weapons,Female,18-24,11
Black,2020-10-01,Offensive weapons,Female,25-34,7
Black,2020-10-01,Offensive weapons,Female,over 34,8
Black,2020-10-01,Offensive weapons,Male,10-17,517
Black,2020-10-01,Offensive weapons,Male,18-24,433
Black,2020-10-01,Offensive weapons,Male,25-34,210
Black,2020-10-01,Offensive weapons,Male,over 34,89
Black,2020-10-01,Stolen goods,Female,10-17,7
Black,2020-10-01,Stolen goods,Female,18-24,9
Black,2020-10-01,Stolen goods,Female,25-34,7
Black,2020-10-01,Stolen goods,Female,over 34,13
Black,2020-10-01,Stolen goods,Male,10-17,241
Black,2020-10-01,Stolen goods,Male,18-24,168
Black,2020-10-01,Stolen goods,Male,25-34,87
Black,2020-10-01,Stolen goods,Male,over 34,113
Black,2020-11-01,Anything to threaten or harm anyone,Female,10-17,1
Black,2020-11-01,Anything to threaten or harm anyone,Female,over 34,1
Black,2020-11-01,Anything to threaten or harm anyone,Male,10-17,48
Black,2020-11-01,Anything to threaten or harm anyone,Male,18-24,47
Black,2020-11-01,Anything to threaten or harm anyone,Male,25-34,14
Black,2020-11-01,Anything to threaten or harm anyone,Male,over 34,10
Black,2020-11-01,Articles for use in criminal damage,Female,18-24,1
Black,2020-11-01,Articles for use in criminal damage,Female,over 34,1
Black,2020-11-01,Articles for use in criminal damage,Male,10-17,4
Black,2020-11-01,Articles for use in criminal damage,Male,18-24,7
Black,2020-11-01,Articles for use in criminal damage,Male,over 34,1
Black,2020-11-01,Controlled drugs,Female,10-17,28
Black,2020-11-01,Controlled drugs,Female,18-24,140
Black,2020-11-01,Controlled drugs,Female,25-34,79
Black,2020-11-01,Controlled drugs,Female,over 34,78
Black,2020-11-01,Controlled drugs,Male,10-17,523
Black,2020-11-01,Controlled drugs,Male,18-24,1772
Black,2020-11-01,Controlled drugs,Male,25-34,1066
Black,2020-11-01,Controlled drugs,Male,over 34,735
Black,2020-11-01,Evidence of offences under the Act,Female,10-17,5
Black,2020-11-01,Evidence of offences under the Act,Female,18-24,3
Black,2020-11-01,Evidence of offences under the Act,Female,25-34,2
Black,2020-11-01,Evidence of offences under the Act,Male,10-17,52
Black,2020-11-01,Evidence of offences under the Act,Male,18-24,55
Black,2020-11-01,Evidence of offences under the Act,Male,25-34,37
Black,2020-11-01,Evidence of offences under the Act,Male,over 34,55
Black,2020-11-01,Firearms,Female,10-17,1
Black,2020-11-01,Firearms,Female,18-24,2
Black,2020-11-01,Firearms,Male,10-17,4
Black,2020-11-01,Firearms,Male,18-24,15
Black,2020-11-01,Firearms,Male,25-34,10
Black,2020-11-01,Firearms,Male,over 34,8
Black,2020-11-01,Fireworks,Female,10-17,5
Black,2020-11-01,Fireworks,Female,18-24,1
Black,2020-11-01,Fireworks,Male,10-17,86
Black,2020-11-01,Fireworks,Male,18-24,22
Black,2020-11-01,Fireworks,Male,25-34,5
Black,2020-11-01,Fireworks,Male,over 34,3
Black,2020-11-01,Offensive weapons,Female,10-17,11
Black,2020-11-01,Offensive weapons,Female,18-24,7
Black,2020-11-01,Offensive weapons,Female,25-34,7
Black,2020-11-01,Offensive weapons,Female,over 34,5
Black,2020-11-01,Offensive weapons,Male,10-17,428
Black,2020-11-01,Offensive weapons,Male,18-24,546
Black,2020-11-01,Offensive weapons,Male,25-34,192
Black,2020-11-01,Offensive weapons,Male,over 34,104
Black,2020-11-01,Offensive weapons,Other,25-34,1
Black,2020-11-01,Offensive weapons,Other,over 34,1
Black,2020-11-01,Stolen goods,Female,10-17,5
Black,2020-11-01,Stolen goods,Female,18-24,6
Black,2020-11-01,Stolen goods,Female,25-34,11
Black,2020-11-01,Stolen goods,Female,over 34,15
Black,2020-11-01,Stolen goods,Male,10-17,196
Black,2020-11-01,Stolen goods,Male,18-24,144
Black,2020-11-01,Stolen goods,Male,25-34,89
Black,2020-11-01,Stolen goods,Male,over 34,121
Black,2020-12-01,Anything to threaten or harm anyone,Female,18-24,1
Black,2020-12-01,Anything to threaten or harm anyone,Male,10-17,17
Black,2020-12-01,Anything to threaten or harm anyone,Male,18-24,18
Black,2020-12-01,Anything to threaten or harm anyone,Male,25-34,6
Black,2020-12-01,Anything to threaten or harm anyone,Male,over 34,3
Black,2020-12-01,Articles for use in criminal damage,Male,10-17,5
Black,2020-12-01,Articles for use in criminal damage,Male,18-24,1
Black,2020-12-01,Articles for use in criminal damage,Male,25-34,1
Black,2020-12-01,Articles for use in criminal damage,Male,over 34,2
Black,2020-12-01,Controlled drugs,Female,10-17,25
Black,2020-12-01,Controlled drugs,Female,18-24,99
Black,2020-12-01,Controlled drugs,Female,25-34,57
Black,2020-12-01,Controlled drugs,Female,over 34,51
Black,2020-12-01,Controlled drugs,Male,10-17,390
Black,2020-12-01,Controlled drugs,Male,18-24,1332
Black,2020-12-01,Controlled drugs,Male,25-34,832
Black,2020-12-01,Controlled drugs,Male,over 34,586
Black,2020-12-01,Controlled drugs,Male,under 10,1
Black,2020-12-01,Evidence of offences under the Act,Female,10-17,1
Black,2020-12-01,Evidence of offences under the Act,Female,18-24,2
Black,2020-12-01,Evidence of offences under the Act,Female,25-34,1
Black,2020-12-01,Evidence of offences under the Act,Female,over 34,3
Black,2020-12-01,Evidence of offences under the Act,Male,10-17,41
Black,2020-12-01,Evidence of offences under the Act,Male,18-24,46
Black,2020-12-01,Evidence of offences under the Act,Male,25-34,28
Black,2020-12-01,Evidence of offences under the Act,Male,over 34,57
Black,2020-12-01,Firearms,Female,18-24,3
Black,2020-12-01,Firearms,Female,25-34,2
Black,2020-12-01,Firearms,Male,10-17,3
Black,2020-12-01,Firearms,Male,18-24,6
Black,2020-12-01,Firearms,Male,25-34,8
Black,2020-12-01,Firearms,Male,over 34,5
Black,2020-12-01,Fireworks,Female,10-17,1
Black,2020-12-01,Fireworks,Male,10-17,2
Black,2020-12-01,Fireworks,Male,18-24,1
Black,2020-12-01,Fireworks,Male,over 34,1
Black,2020-12-01,Offensive weapons,Female,10-17,7
Black,2020-12-01,Offensive weapons,Female,18-24,6
Black,2020-12-01,Offensive weapons,Female,25-34,9
Black,2020-12-01,Offensive weapons,Female,over 34,7
Black,2020-12-01,Offensive weapons,Male,10-17,375
Black,2020-12-01,Offensive weapons,Male,18-24,349
Black,2020-12-01,Offensive weapons,Male,25-34,144
Black,2020-12-01,Offensive weapons,Male,over 34,103
Black,2020-12-01,Stolen goods,Female,10-17,4
Black,2020-12-01,Stolen goods,Female,18-24,9
Black,2020-12-01,Stolen goods,Female,25-34,7
Black,2020-12-01,Stolen goods,Female,over 34,22
Black,2020-12-01,Stolen goods,Male,10-17,186
Black,2020-12-01,Stolen goods,Male,18-24,133
Black,2020-12-01,Stolen goods,Male,25-34,75
Black,2020-12-01,Stolen goods,Male,over 34,94
Other,2020-01-01,Anything to threaten or harm anyone,Female,25-34,1
Other,2020-01-01,Anything to threaten or harm anyone,Male,10-17,11
Other,2020-01-01,Anything to threaten or harm anyone,Male,18-24,27
Other,2020-01-01,Anything to threaten or harm anyone,Male,25-34,7
Other,2020-01-01,Anything to threaten or harm anyone,Male,over 34,1
Other,2020-01-01,Articles for use in criminal damage,Male,10-17,1
Other,2020-01-01,Controlled drugs,Female,10-17,2
Other,2020-01-01,Controlled drugs,Female,18-24,13
Other,2020-01-01,Controlled drugs,Female,25-34,3
Other,2020-01-01,Controlled drugs,Female,over 34,2
Other,2020-01-01,Controlled drugs,Male,10-17,107
Other,2020-01-01,Controlled drugs,Male,18-24,334
Other,2020-01-01,Controlled drugs,Male,25-34,149
Other,2020-01-01,Controlled drugs,Male,over 34,55
Other,2020-01-01,Evidence of offences under the Act,Male,10-17,8
Other,2020-01-01,Evidence of offences under the Act,Male,18-24,9
Other,2020-01-01,Evidence of offences under the Act,Male,25-34,14
Other,2020-01-01,Evidence of offences under the Act,Male,over 34,7
Other,2020-01-01,Firearms,Male,18-24,2
Other,2020-01-01,Firearms,Male,25-34,3
Other,2020-01-01,Fireworks,Male,10-17,1
Other,2020-01-01,Offensive weapons,Male,10-17,62
Other,2020-01-01,Offensive weapons,Male,18-24,90
Other,2020-01-01,Offensive weapons,Male,25-34,35
Other,2020-01-01,Offensive weapons,Male,over 34,10
Other,2020-01-01,Stolen goods,Female,10-17,2
Other,2020-01-01,Stolen goods,Female,18-24,2
Other,2020-01-01,Stolen goods,Female,over 34,1
Other,2020-01-01,Stolen goods,Male,10-17,29
Other,2020-01-01,Stolen goods,Male,18-24,49
Other,2020-01-01,Stolen goods,Male,25-34,26
Other,2020-01-01,Stolen goods,Male,over 34,12
Other,2020-02-01,Anything to threaten or harm anyone,Female,18-24,1
Other,2020-02-01,Anything to threaten or harm anyone,Male,10-17,4
Other,2020-02-01,Anything to threaten or harm anyone,Male,18-24,8
Other,2020-02-01,Anything to threaten or harm anyone,Male,25-34,4
Other,2020-02-01,Controlled drugs,Female,10-17,3
Other,2020-02-01,Controlled drugs,Female,18-24,3
Other,2020-02-01,Controlled drugs,Female,25-34,6
Other,2020-02-01,Controlled drugs,Female,over 34,1
Other,2020-02-01,Controlled drugs,Male,10-17,73
Other,2020-02-01,Controlled drugs,Male,18-24,283
Other,2020-02-01,Controlled drugs,Male,25-34,114
Other,2020-02-01,Controlled drugs,Male,over 34,34
Other,2020-02-01,Controlled drugs,Male,under 10,1
Other,2020-02-01,Evidence of offences under the Act,Female,25-34,1
Other,2020-02-01,Evidence of offences under the Act,Male,10-17,5
Other,2020-02-01,Evidence of offences under the Act,Male,18-24,7
Other,2020-02-01,Evidence of offences under the Act,Male,25-34,9
Other,2020-02-01,Evidence of offences under the Act,Male,over 34,5
Other,2020-02-01,Firearms,Male,over 34,1
Other,2020-02-01,Fireworks,Male,25-34,1
Other,2020-02-01,Offensive weapons,Female,10-17,3
Other,2020-02-01,Offensive weapons,Male,10-17,41
Other,2020-02-01,Offensive weapons,Male,18-24,57
Other,2020-02-01,Offensive weapons,Male,25-34,17
Other,2020-02-01,Offensive weapons,Male,over 34,8
Other,2020-02-01,Stolen goods,Male,10-17,15
Other,2020-02-01,Stolen goods,Male,18-24,28
Other,2020-02-01,Stolen goods,Male,25-34,20
Other,2020-02-01,Stolen goods,Male,over 34,15
Other,2020-03-01,Anything to threaten or harm anyone,Female,18-24,2
Other,2020-03-01,Anything to threaten or harm anyone,Male,10-17,6
Other,2020-03-01,Anything to threaten or harm anyone,Male,18-24,15
Other,2020-03-01,Anything to threaten or harm anyone,Male,25-34,2
Other,2020-03-01,Anything to threaten or harm anyone,Male,over 34,3
Other,2020-03-01,Articles for use in criminal damage,Male,10-17,2
Other,2020-03-01,Articles for use in criminal damage,Male,25-34,2
Other,2020-03-01,Controlled drugs,Female,10-17,1
Other,2020-03-01,Controlled drugs,Female,18-24,10
Other,2020-03-01,Controlled drugs,Female,25-34,8
Other,2020-03-01,Controlled drugs,Female,over 34,3
Other,2020-03-01,Controlled drugs,Male,10-17,78
Other,2020-03-01,Controlled drugs,Male,18-24,259
Other,2020-03-01,Controlled drugs,Male,25-34,131
Other,2020-03-01,Controlled drugs,Male,over 34,47
Other,2020-03-01,Evidence of offences under the Act,Female,25-34,1
Other,2020-03-01,Evidence of offences under the Act,Male,10-17,5
Other,2020-03-01,Evidence of offences under the Act,Male,18-24,10
Other,2020-03-01,Evidence of offences under the Act,Male,25-34,6
Other,2020-03-01,Evidence of offences under the Act,Male,over 34,7
Other,2020-03-01,Evidence of offences under the Act,Male,under 10,1
Other,2020-03-01,Firearms,Male,18-24,3
Other,2020-03-01,Firearms,Male,25-34,1
Other,2020-03-01,Offensive weapons,Female,10-17,1
Other,2020-03-01,Offensive weapons,Male,10-17,41
Other,2020-03-01,Offensive weapons,Male,18-24,64
Other,2020-03-01,Offensive weapons,Male,25-34,22
Other,2020-03-01,Offensive weapons,Male,over 34,15
Other,2020-03-01,Stolen goods,Female,10-17,3
Other,2020-03-01,Stolen goods,Female,over 34,1
Other,2020-03-01,Stolen goods,Male,10-17,17
Other,2020-03-01,Stolen goods,Male,18-24,35
Other,2020-03-01,Stolen goods,Male,25-34,21
Other,2020-03-01,Stolen goods,Male,over 34,12
Other,2020-04-01,Anything to threaten or harm anyone,Male,10-17,2
Other,2020-04-01,Anything to threaten or harm anyone,Male,18-24,3
Other,2020-04-01,Anything to threaten or harm anyone,Male,25-34,4
Other,2020-04-01,Anything to threaten or harm anyone,Male,over 34,1
Other,2020-04-01,Articles for use in criminal damage,Male,25-34,1
Other,2020-04-01,Controlled drugs,Female,18-24,17
Other,2020-04-01,Controlled drugs,Female,25-34,7
Other,2020-04-01,Controlled drugs,Female,over 34,4
Other,2020-04-01,Controlled drugs,Male,10-17,80
Other,2020-04-01,Controlled drugs,Male,18-24,418
Other,2020-04-01,Controlled drugs,Male,25-34,217
Other,2020-04-01,Controlled drugs,Male,over 34,74
Other,2020-04-01,Controlled drugs,Male,under 10,2
Other,2020-04-01,Evidence of offences under the Act,Male,10-17,5
Other,2020-04-01,Evidence of offences under the Act,Male,18-24,17
Other,2020-04-01,Evidence of offences under the Act,Male,25-34,12
Other,2020-04-01,Evidence of offences under the Act,Male,over 34,11
Other,2020-04-01,Firearms,Male,18-24,1
Other,2020-04-01,Firearms,Male,25-34,1
Other,2020-04-01,Firearms,Male,over 34,1
Other,2020-04-01,Offensive weapons,Female,10-17,1
Other,2020-04-01,Offensive weapons,Female,18-24,2
Other,2020-04-01,Offensive weapons,Male,10-17,24
Other,2020-04-01,Offensive weapons,Male,18-24,76
Other,2020-04-01,Offensive weapons,Male,25-34,42
Other,2020-04-01,Offensive weapons,Male,over 34,14
Other,2020-04-01,Stolen goods,Female,10-17,2
Other,2020-04-01,Stolen goods,Female,25-34,1
Other,2020-04-01,Stolen goods,Female,over 34,1
Other,2020-04-01,Stolen goods,Male,10-17,13
Other,2020-04-01,Stolen goods,Male,18-24,47
Other,2020-04-01,Stolen goods,Male,25-34,34
Other,2020-04-01,Stolen goods,Male,over 34,18
Other,2020-05-01,Anything to threaten or harm anyone,Female,18-24,1
Other,2020-05-01,Anything to threaten or harm anyone,Male,10-17,12
Other,2020-05-01,Anything to threaten or harm anyone,Male,18-24,36
Other,2020-05-01,Anything to threaten or harm anyone,Male,25-34,20
Other,2020-05-01,Anything to threaten or harm anyone,Male,over 34,5
Other,2020-05-01,Articles for use in criminal damage,Male,18-24,1
Other,2020-05-01,Articles for use in criminal damage,Male,25-34,2
Other,2020-05-01,Controlled drugs,Female,10-17,4
Other,2020-05-01,Controlled drugs,Female,18-24,31
Other,2020-05-01,Controlled drugs,Female,25-34,10
Other,2020-05-01,Controlled drugs,Female,over 34,9
Other,2020-05-01,Controlled drugs,Male,10-17,111
Other,2020-05-01,Controlled drugs,Male,18-24,538
Other,2020-05-01,Controlled drugs,Male,25-34,284
Other,2020-05-01,Controlled drugs,Male,over 34,114
Other,2020-05-01,Controlled drugs,Other,10-17,1
Other,2020-05-01,Controlled drugs,Other,18-24,1
Other,2020-05-01,Controlled drugs,Other,25-34,1
Other,2020-05-01,Evidence of offences under the Act,Female,18-24,1
Other,2020-05-01,Evidence of offences under the Act,Female,over 34,1
Other,2020-05-01,Evidence of offences under the Act,Male,10-17,10
Other,2020-05-01,Evidence of offences under the Act,Male,18-24,20
Other,2020-05-01,Evidence of offences under the Act,Male,25-34,17
Other,2020-05-01,Evidence of offences under the Act,Male,over 34,14
Other,2020-05-01,Firearms,Male,18-24,1
Other,2020-05-01,Firearms,Male,25-34,2
Other,2020-05-01,Fireworks,Male,25-34,1
Other,2020-05-01,Offensive weapons,Female,18-24,4
Other,2020-05-01,Offensive weapons,Female,25-34,2
Other,2020-05-01,Offensive weapons,Female,over 34,1
Other,2020-05-01,Offensive weapons,Male,10-17,65
Other,2020-05-01,Offensive weapons,Male,18-24,143
Other,2020-05-01,Offensive weapons,Male,25-34,40
Other,2020-05-01,Offensive weapons,Male,over 34,24
Other,2020-05-01,Stolen goods,Female,25-34,2
Other,2020-05-01,Stolen goods,Male,10-17,26
Other,2020-05-01,Stolen goods,Male,18-24,49
Other,2020-05-01,Stolen goods,Male,25-34,41
Other,2020-05-01,Stolen goods,Male,over 34,30
Other,2020-06-01,Anything to threaten or harm anyone,Male,10-17,2
Other,2020-06-01,Anything to threaten or harm anyone,Male,18-24,12
Other,2020-06-01,Anything to threaten or harm anyone,Male,25-34,1
Other,2020-06-01,Anything to threaten or harm anyone,Male,over 34,1
Other,2020-06-01,Articles for use in criminal damage,Male,10-17,1
Other,2020-06-01,Controlled drugs,Female,10-17,2
Other,2020-06-01,Controlled drugs,Female,18-24,15
Other,2020-06-01,Controlled drugs,Female,25-34,5
Other,2020-06-01,Controlled drugs,Female,over 34,1
Other,2020-06-01,Controlled drugs,Male,10-17,90
Other,2020-06-01,Controlled drugs,Male,18-24,361
Other,2020-06-01,Controlled drugs,Male,25-34,172
Other,2020-06-01,Controlled drugs,Male,over 34,73
Other,2020-06-01,Controlled drugs,Other,25-34,1
Other,2020-06-01,Evidence of offences under the Act,Male,10-17,3
Other,2020-06-01,Evidence of offences under the Act,Male,18-24,10
Other,2020-06-01,Evidence of offences under the Act,Male,25-34,15
Other,2020-06-01,Evidence of offences under the Act,Male,over 34,12
Other,2020-06-01,Firearms,Female,25-34,1
Other,2020-06-01,Firearms,Male,10-17,1
Other,2020-06-01,Firearms,Male,18-24,4
Other,2020-06-01,Firearms,Male,25-34,2
Other,2020-06-01,Firearms,Male,over 34,1
Other,2020-06-01,Offensive weapons,Female,25-34,2
Other,2020-06-01,Offensive weapons,Male,10-17,44
Other,2020-06-01,Offensive weapons,Male,18-24,74
Other,2020-06-01,Offensive weapons,Male,25-34,32
Other,2020-06-01,Offensive weapons,Male,over 34,12
Other,2020-06-01,Stolen goods,Female,18-24,1
Other,2020-06-01,Stolen goods,Female,25-34,2
Other,2020-06-01,Stolen goods,Male,10-17,17
Other,2020-06-01,Stolen goods,Male,18-24,24
Other,2020-06-01,Stolen goods,Male,25-34,19
Other,2020-06-01,Stolen goods,Male,over 34,10
Other,2020-07-01,Anything to threaten or harm anyone,Male,10-17,5
Other,2020-07-01,Anything to threaten or harm anyone,Male,18-24,4
Other,2020-07-01,Anything to threaten or harm anyone,Male,25-34,3
Other,2020-07-01,Anything to threaten or harm anyone,Male,over 34,2
Other,2020-07-01,Articles for use in criminal damage,Male,10-17,1
Other,2020-07-01,Controlled drugs,Female,18-24,6
Other,2020-07-01,Controlled drugs,Female,25-34,9
Other,2020-07-01,Controlled drugs,Female,over 34,2
Other,2020-07-01,Controlled drugs,Male,10-17,60
Other,2020-07-01,Controlled drugs,Male,18-24,285
Other,2020-07-01,Controlled drugs,Male,25-34,157
Other,2020-07-01,Controlled drugs,Male,over 34,59
Other,2020-07-01,Controlled drugs,Male,under 10,1
Other,2020-07-01,Controlled drugs,Other,18-24,1
Other,2020-07-01,Evidence of offences under the Act,Male,10-17,7
Other,2020-07-01,Evidence of offences under the Act,Male,18-24,9
Other,2020-07-01,Evidence of offences under the Act,Male,25-34,10
Other,2020-07-01,Evidence of offences under the Act,Male,over 34,5
Other,2020-07-01,Firearms,Male,10-17,2
Other,2020-07-01,Firearms,Male,18-24,2
Other,2020-07-01,Firearms,Male,over 34,1
Other,2020-07-01,Offensive weapons,Female,18-24,2
Other,2020-07-01,Offensive weapons,Male,10-17,47
Other,2020-07-01,Offensive weapons,Male,18-24,71
Other,2020-07-01,Offensive weapons,Male,25-34,31
Other,2020-07-01,Offensive weapons,Male,over 34,18
Other,2020-07-01,Stolen goods,Female,10-17,1
Other,2020-07-01,Stolen goods,Female,over 34,2
Other,2020-07-01,Stolen goods,Male,10-17,21
Other,2020-07-01,Stolen goods,Male,18-24,42
Other,2020-07-01,Stolen goods,Male,25-34,35
Other,2020-07-01,Stolen goods,Male,over 34,22
Other,2020-08-01,Anything to threaten or harm anyone,Female,25-34,1
Other,2020-08-01,Anything to threaten or harm anyone,Male,10-17,5
Other,2020-08-01,Anything to threaten or harm anyone,Male,18-24,18
Other,2020-08-01,Anything to threaten or harm anyone,Male,25-34,3
Other,2020-08-01,Articles for use in criminal damage,Female,10-17,1
Other,2020-08-01,Articles for use in criminal damage,Male,10-17,1
Other,2020-08-01,Articles for use in criminal damage,Male,25-34,1
Other,2020-08-01,Controlled drugs,Female,10-17,3
Other,2020-08-01,Controlled drugs,Female,18-24,11
Other,2020-08-01,Controlled drugs,Female,25-34,6
Other,2020-08-01,Controlled drugs,Female,over 34,2
Other,2020-08-01,Controlled drugs,Male,10-17,53
Other,2020-08-01,Controlled drugs,Male,18-24,253
Other,2020-08-01,Controlled drugs,Male,25-34,127
Other,2020-08-01,Controlled drugs,Male,over 34,62
Other,2020-08-01,Controlled drugs,Male,under 10,1
Other,2020-08-01,Evidence of offences under the Act,Male,10-17,4
Other,2020-08-01,Evidence of offences under the Act,Male,18-24,9
Other,2020-08-01,Evidence of offences under the Act,Male,25-34,8
Other,2020-08-01,Evidence of offences under the Act,Male,over 34,13
Other,2020-08-01,Firearms,Male,18-24,1
Other,2020-08-01,Fireworks,Female,18-24,1
Other,2020-08-01,Offensive weapons,Female,18-24,1
Other,2020-08-01,Offensive weapons,Female,25-34,1
Other,2020-08-01,Offensive weapons,Male,10-17,32
Other,2020-08-01,Offensive weapons,Male,18-24,80
Other,2020-08-01,Offensive weapons,Male,25-34,20
Other,2020-08-01,Offensive weapons,Male,over 34,16
Other,2020-08-01,Stolen goods,Female,over 34,2
Other,2020-08-01,Stolen goods,Male,10-17,14
Other,2020-08-01,Stolen goods,Male,18-24,35
Other,2020-08-01,Stolen goods,Male,25-34,38
Other,2020-08-01,Stolen goods,Male,over 34,9
Other,2020-09-01,Anything to threaten or harm anyone,Female,10-17,1
Other,2020-09-01,Anything to threaten or harm anyone,Male,10-17,4
Other,2020-09-01,Anything to threaten or harm anyone,Male,18-24,6
Other,2020-09-01,Anything to threaten or harm anyone,Male,25-34,2
Other,2020-09-01,Anything to threaten or harm anyone,Male,over 34,1
Other,2020-09-01,Articles for use in criminal damage,Male,10-17,1
Other,2020-09-01,Articles for use in criminal damage,Male,18-24,1
Other,2020-09-01,Articles for use in criminal damage,Male,over 34,2
Other,2020-09-01,Controlled drugs,Female,18-24,5
Other,2020-09-01,Controlled drugs,Female,25-34,1
Other,2020-09-01,Controlled drugs,Female,over 34,1
Other,2020-09-01,Controlled drugs,Male,10-17,76
Other,2020-09-01,Controlled drugs,Male,18-24,202
Other,2020-09-01,Controlled drugs,Male,25-34,112
Other,2020-09-01,Controlled drugs,Male,over 34,53
Other,2020-09-01,Evidence of offences under the Act,Male,10-17,8
Other,2020-09-01,Evidence of offences under the Act,Male,18-24,7
Other,2020-09-01,Evidence of offences under the Act,Male,25-34,3
Other,2020-09-01,Evidence of offences under the Act,Male,over 34,9
Other,2020-09-01,Firearms,Female,10-17,1
Other,2020-09-01,Firearms,Female,18-24,2
Other,2020-09-01,Firearms,Female,over 34,1
Other,2020-09-01,Firearms,Male,18-24,2
Other,2020-09-01,Firearms,Male,25-34,1
Other,2020-09-01,Fireworks,Male,10-17,1
Other,2020-09-01,Offensive weapons,Male,10-17,32
Other,2020-09-01,Offensive weapons,Male,18-24,51
Other,2020-09-01,Offensive weapons,Male,25-34,32
Other,2020-09-01,Offensive weapons,Male,over 34,10
Other,2020-09-01,Stolen goods,Female,18-24,2
Other,2020-09-01,Stolen goods,Female,25-34,1
Other,2020-09-01,Stolen goods,Female,over 34,3
Other,2020-09-01,Stolen goods,Male,10-17,20
Other,2020-09-01,Stolen goods,Male,18-24,20
Other,2020-09-01,Stolen goods,Male,25-34,23
Other,2020-09-01,Stolen goods,Male,over 34,14
Other,2020-10-01,Anything to threaten or harm anyone,Female,10-17,1
Other,2020-10-01,Anything to threaten or harm anyone,Male,18-24,1
Other,2020-10-01,Anything to threaten or harm anyone,Male,25-34,1
Other,2020-10-01,Anything to threaten or harm anyone,Male,over 34,1
Other,2020-10-01,Articles for use in criminal damage,Male,10-17,1
Other,2020-10-01,Articles for use in criminal damage,Male,18-24,2
Other,2020-10-01,Controlled drugs,Female,10-17,2
Other,2020-10-01,Controlled drugs,Female,18-24,16
Other,2020-10-01,Controlled drugs,Female,25-34,4
Other,2020-10-01,Controlled drugs,Female,over 34,1
