Officer-defined ethnicity,Date,Outcome,Gender,Age range,count
White,2020-12-01,A no further action disposal,Other,25-34,1
White,2020-12-01,Arrest,Female,10-17,13
White,2020-12-01,Arrest,Female,18-24,12
White,2020-12-01,Arrest,Female,25-34,29
White,2020-12-01,Arrest,Female,over 34,27
White,2020-12-01,Arrest,Male,10-17,103
White,2020-12-01,Arrest,Male,18-24,203
White,2020-12-01,Arrest,Male,25-34,264
White,2020-12-01,Arrest,Male,over 34,243
White,2020-12-01,Arrest,Other,over 34,1
White,2020-12-01,Caution (simple or conditional),Male,10-17,3
White,2020-12-01,Caution (simple or conditional),Male,18-24,3
White,2020-12-01,Community resolution,Female,10-17,8
White,2020-12-01,Community resolution,Female,18-24,46
White,2020-12-01,Community resolution,Female,25-34,13
White,2020-12-01,Community resolution,Female,over 34,13
White,2020-12-01,Community resolution,Male,10-17,24
White,2020-12-01,Community resolution,Male,18-24,297
White,2020-12-01,Community resolution,Male,25-34,178
White,2020-12-01,Community resolution,Male,over 34,93
White,2020-12-01,Community resolution,Other,over 34,1
White,2020-12-01,Penalty Notice for Disorder,Female,18-24,4
White,2020-12-01,Penalty Notice for Disorder,Female,25-34,11
White,2020-12-01,Penalty Notice for Disorder,Female,over 34,3
White,2020-12-01,Penalty Notice for Disorder,Male,10-17,3
White,2020-12-01,Penalty Notice for Disorder,Male,18-24,89
White,2020-12-01,Penalty Notice for Disorder,Male,25-34,75
White,2020-12-01,Penalty Notice for Disorder,Male,over 34,24
White,2020-12-01,Penalty Notice for Disorder,Male,under 10,1
White,2020-12-01,Summons / charged by post,Female,10-17,4
White,2020-12-01,Summons / charged by post,Female,18-24,1
White,2020-12-01,Summons / charged by post,Female,25-34,2
White,2020-12-01,Summons / charged by post,Female,over 34,4
White,2020-12-01,Summons / charged by post,Male,10-17,19
White,2020-12-01,Summons / charged by post,Male,18-24,26
White,2020-12-01,Summons / charged by post,Male,25-34,20
White,2020-12-01,Summons / charged by post,Male,over 34,17
